,DateTime,Close,Bid,Ask,Bid_size,Ask_size
0,2023-08-01 13:16:45.661793-04:00,0.0,0.0,0.0,0,0
1,2023-08-01 13:16:48.043830-04:00,4600.0,0.0,0.0,0,0
2,2023-08-01 13:16:48.065831-04:00,0.0,4599.75,0.0,0,0
3,2023-08-01 13:16:48.070832-04:00,0.0,0.0,0.0,64,0
4,2023-08-01 13:16:48.073841-04:00,0.0,0.0,4600.0,0,0
5,2023-08-01 13:16:48.076849-04:00,0.0,0.0,0.0,0,110
6,2023-08-01 13:16:48.079856-04:00,0.0,0.0,0.0,64,0
7,2023-08-01 13:16:48.083855-04:00,0.0,0.0,0.0,0,110
8,2023-08-01 13:16:48.977202-04:00,0.0,0.0,0.0,66,0
9,2023-08-01 13:16:48.981207-04:00,0.0,0.0,0.0,0,109
10,2023-08-01 13:16:49.976720-04:00,0.0,0.0,0.0,65,0
11,2023-08-01 13:16:49.980726-04:00,0.0,0.0,0.0,0,113
12,2023-08-01 13:16:50.879136-04:00,0.0,0.0,0.0,106,0
13,2023-08-01 13:16:50.882164-04:00,0.0,0.0,0.0,0,65
14,2023-08-01 13:16:51.883113-04:00,0.0,0.0,0.0,114,0
15,2023-08-01 13:16:51.887112-04:00,0.0,0.0,0.0,0,50
16,2023-08-01 13:16:52.881794-04:00,0.0,0.0,0.0,112,0
17,2023-08-01 13:16:52.885788-04:00,0.0,0.0,0.0,0,33
18,2023-08-01 13:16:53.685302-04:00,0.0,4600.0,0.0,0,0
19,2023-08-01 13:16:53.688313-04:00,0.0,0.0,0.0,81,0
20,2023-08-01 13:16:53.691300-04:00,0.0,0.0,4600.25,0,0
21,2023-08-01 13:16:53.695300-04:00,0.0,0.0,0.0,0,119
22,2023-08-01 13:16:53.698811-04:00,0.0,0.0,0.0,81,0
23,2023-08-01 13:16:53.703811-04:00,0.0,0.0,0.0,0,119
24,2023-08-01 13:16:54.282944-04:00,0.0,4599.75,0.0,0,0
25,2023-08-01 13:16:54.286952-04:00,0.0,0.0,0.0,109,0
26,2023-08-01 13:16:54.291944-04:00,0.0,0.0,4600.0,0,0
27,2023-08-01 13:16:54.294946-04:00,0.0,0.0,0.0,0,42
28,2023-08-01 13:16:54.300013-04:00,0.0,0.0,0.0,109,0
29,2023-08-01 13:16:54.304016-04:00,0.0,0.0,0.0,0,42
30,2023-08-01 13:16:54.383023-04:00,0.0,4600.0,0.0,0,0
31,2023-08-01 13:16:54.387022-04:00,0.0,0.0,0.0,7,0
32,2023-08-01 13:16:54.391020-04:00,0.0,0.0,4600.25,0,0
33,2023-08-01 13:16:54.394027-04:00,0.0,0.0,0.0,0,121
34,2023-08-01 13:16:54.397529-04:00,0.0,0.0,0.0,7,0
35,2023-08-01 13:16:54.402541-04:00,0.0,0.0,0.0,0,121
36,2023-08-01 13:16:54.790417-04:00,0.0,0.0,0.0,51,0
37,2023-08-01 13:16:54.794421-04:00,0.0,0.0,0.0,0,115
38,2023-08-01 13:16:55.803762-04:00,0.0,0.0,0.0,0,118
39,2023-08-01 13:16:55.985321-04:00,4600.25,0.0,0.0,0,0
40,2023-08-01 13:16:56.787433-04:00,0.0,0.0,0.0,72,0
41,2023-08-01 13:16:56.790425-04:00,0.0,0.0,0.0,0,99
42,2023-08-01 13:16:57.787479-04:00,0.0,0.0,0.0,48,0
43,2023-08-01 13:16:57.790545-04:00,0.0,0.0,0.0,0,101
